name,price,marketPrice,description,year,country,category,stock,imageName
East India Company Seal,3000,4500,Extremely rare pre-independence seal.,1854,India,"Rare,Colonial",1,bal69.jpeg
Mahatma Gandhi Dandi March,400,650,Salt Satyagraha anniversary.,1970,India,"Gandhi Stamps,History",6,main04.png
British Guiana 1c Magenta,5000,7500,The rarest stamp reproduction specimen.,1856,Guyana,"Rare,World",1,main03.png
Solar Eclipse 1999,140,280,Total solar eclipse observation.,1999,UK,"Space,Science",20,bal69.jpeg
Gateway of India,110,220,Mumbai landmark architectural issue.,1950,India,"Heritage,History",14,main04.png
Asoka Lion Capital,350,550,Early republic state emblem series.,1950,India,"India,Heritage",5,main03.png
Steam Locomotive 4-6-2,420,700,Industrial revolution transport series.,1930,UK,"Trains,Transport",7,bal69.jpeg
Khadi Handloom Special,130,260,Promotion of indigenous textiles.,1955,India,"Culture,Khadi",18,main04.png
Cape of Good Hope Triangle,1500,2200,Famous triangular shape specimen.,1853,South Africa,"Rare,Classic",2,main03.png
Red Panda Conservation,210,380,Endangered species awareness.,1995,India,"Wildlife,Nature",11,bal69.jpeg
Oxford University 800yrs,500,750,Education heritage commemorative.,1967,UK,"Royal,History",6,main04.png
Rabindranath Tagore Birth,280,500,Nobel laureate centenary.,1961,India,"Literature,Leaders",10,main03.png
Inverted Swan WA,2500,3800,Inverted frame error specimen.,1855,Australia,"Rare,Error",1,bal69.jpeg
Indian Postal Service 150,160,320,Milestone of the postal department.,2004,India,"Postal,Modern",45,main04.png
Battle of Waterloo,600,900,Military history anniversary.,1965,UK,"History,Military",4,main03.png
Ganga River Descent,190,380,Spiritual and geography series.,1985,India,"Culture,Nature",13,bal69.jpeg
King George VI Definitives,350,500,Standard wartime usage.,1940,UK,"Victorian,Classic",22,main04.png
Golden Temple Amritsar,240,480,Sikh heritage religious site.,1972,India,"Heritage,Religious",9,main03.png
Concorde Supersonic Jet,550,850,Aviation technology milestone.,1969,UK,"Space,Transport",5,bal69.jpeg
Indian Railways 100yrs,270,450,Century of rail connectivity.,1953,India,"Trains,History",16,main04.png
Blue Mauritius Post Office,4000,6000,Legendary high-value specimen.,1847,Mauritius,"Rare,World",1,main03.png
Yoga International Day,100,200,Wellness and global culture.,2015,India,"Modern,Culture",80,bal69.jpeg
Great Fire of London,320,550,300th anniversary of the event.,1966,UK,"History",7,main04.png
Lata Mangeshkar Tribute,500,800,Nightinale of India memorial.,2022,India,"Music,Commemorative",20,main03.png
Wright Brothers Flight,480,720,First powered flight commemorative.,1953,USA,"Transport,Aviation",4,bal69.jpeg
Peacock National Bird,80,160,Vibrant fauna illustration.,1963,India,"Wildlife,India",50,main04.png
Shakespeare Globe Theatre,340,600,400th anniversary of birth.,1964,UK,"Literature,Classic",8,main03.png
Cricket World Cup 1983,700,1200,Historical victory commemorative.,1983,India,"Sports,History",3,bal69.jpeg
Hawa Mahal Jaipur,140,280,Pink city architecture series.,1992,India,"Heritage,Modern",22,main04.png
Bose Subhash Chandra,310,550,Netaji birthday centenary.,1997,India,"Leaders,History",12,main03.png
Magna Carta 750yrs,550,900,Foundational law commemorative.,1965,UK,"History,Royal",5,bal69.jpeg
Chola Bronze Art,260,450,South Indian art heritage.,1978,India,"Art,Heritage",10,main04.png
Daffodils Spring Bloom,70,140,Flora and seasonal series.,1995,UK,"Nature,Modern",40,main03.png
Kathakali Dance Form,220,400,Traditional Kerala dance series.,1970,India,"Culture,Art",15,bal69.jpeg
First Rocket Launch Thumba,380,650,Birth of Indian space program.,1963,India,"Space,History",9,main04.png
Battle of Hastings,420,700,900th anniversary issue.,1966,UK,"History,Military",6,main03.png
Lotus National Flower,60,120,National symbol definitive.,1960,India,"Nature,India",100,bal69.jpeg
Darwin Theory Evolution,500,850,Scientific discovery centenary.,1959,UK,"Science,Classic",4,main04.png
Indian Cinema 100yrs,230,460,Celebrating Dadasaheb Phalke.,2013,India,"Art,Modern",33,main03.png
Tower Bridge London,350,600,Engineering landmark series.,1994,UK,"Architecture,Modern",12,bal69.jpeg
Aryabhata Satellite,400,700,First Indian satellite in space.,1975,India,"Space,History",8,main04.png
Winston Churchill Memorial,650,1100,Statesman tribute issue.,1965,UK,"Leaders,History",5,main03.png
Varanasi Ghats at Dawn,200,400,Spiritual geography series.,2000,India,"Culture,Religious",14,bal69.jpeg
Penny Black Anniversary,500,850,150 years of the first stamp.,1990,UK,"Postal,Rare",10,main04.png
Bhangra Dance Punjab,180,350,Folk dance and harvest series.,1982,India,"Culture,Art",19,main03.png
Lunar Landing 1969,700,1200,Man on the moon commemorative.,1969,USA,"Space,Science",3,bal69.jpeg
Victoria Memorial Kolkata,250,500,Colonial architecture series.,1974,India,"Heritage,History",11,main04.png
Big Ben Elizabeth Tower,300,550,Iconic clock tower issue.,2005,UK,"Architecture,Modern",15,main03.png
Tiger Woods Golf Master,120,240,Sporting icons series.,2010,World,"Sports,Modern",25,bal69.jpeg
Ajanta Caves Fresco,290,550,Ancient cave paintings series.,1968,India,"Art,Heritage",7,main04.png
Sherlock Holmes Mystery,450,800,Literary detective commemorative.,1993,UK,"Literature,Modern",9,main03.png
Kumbh Mela Gathering,110,220,World's largest congregation.,2013,India,"Culture,Religious",60,bal69.jpeg
Concorde Final Flight,500,900,End of an aviation era.,2003,UK,"Transport,Aviation",4,main04.png
Green Revolution Wheat,160,320,Agriculture transformation issue.,1970,India,"History,Agriculture",20,main03.png
Nelson Mandela Freedom,600,1000,Anti-apartheid icon tribute.,1994,South Africa,"Leaders,World",5,bal69.jpeg
Meenakshi Amman Temple,280,550,Dravidian architecture marvel.,1980,India,"Heritage,Religious",8,main04.png
Beatles Abbey Road,800,1500,Pop culture music legends.,2007,UK,"Music,Modern",12,main03.png
Yoga Surya Namaskar,150,300,Health and ancient tradition.,2016,India,"Modern,Culture",55,bal69.jpeg
British Museum 250yrs,400,750,Cultural preservation milestone.,2003,UK,"History,Heritage",10,main04.png
Sanchi Stupa Buddhist,210,420,Ancient peace monument.,1965,India,"Heritage,Religious",18,main03.png
First Penny Black Repro,100,200,Educational reproduction series.,2020,UK,"Postal,Classic",90,bal69.jpeg
Elephanta Caves Trimurti,270,540,Rock-cut sculpture heritage.,1976,India,"Art,Heritage",6,main04.png
Rover Mars Discovery,450,850,Planetary exploration series.,2012,USA,"Space,Science",7,main03.png
Tea Gardens Assam,130,260,Flavor of India series.,1992,India,"Agriculture,Culture",24,bal69.jpeg
Robin Redbreast Winter,65,130,British wildlife seasonal series.,2010,UK,"Wildlife,Nature",45,main04.png
Sundarbans Mangrove,190,380,Global ecological heritage.,1988,India,"Nature,Wildlife",13,main03.png
Statue of Liberty 100yrs,550,900,Gift of friendship commemorative.,1986,USA,"History,World",5,bal69.jpeg
Vande Mataram Song,310,600,National song centenary.,1976,India,"History,Culture",9,main04.png
Queen Victoria Diamond Jub,1200,2000,60 years of reign specimen.,1897,UK,"Royal,Classic",2,main03.png
Brahmaputra Bridge,240,480,Engineering connectivity series.,1962,India,"Transport,Modern",11,bal69.jpeg
Newton Principia Math,600,1000,Scientific foundation tribute.,1987,UK,"Science,History",4,main04.png
Kochi Muziris Biennale,170,340,Contemporary art festival.,2014,India,"Art,Modern",22,main03.png
Florence Nightingale Lamp,330,600,Nursing and medicine history.,1970,UK,"Science,History",7,bal69.jpeg
Mahatma Gandhi 150yrs,400,800,Sesquicentenary special issue.,2019,India,"Gandhi Stamps,Modern",35,main04.png
Red Arrows Display Team,500,900,Acrobatic flight excellence.,2015,UK,"Aviation,Sports",6,main03.png
Nilgiri Mountain Rail,210,420,Toy train heritage series.,2005,India,"Trains,Heritage",10,bal69.jpeg
Charles Darwin Galapagos,550,950,Voyage of the Beagle discovery.,2009,UK,"Science,Nature",3,main04.png
Digital India Mission,120,240,Technology for the masses.,2016,India,"Modern,Science",100,main03.png
British Castle Series,800,1400,High value definitive stamps.,1955,UK,"Royal,Classic",2,bal69.jpeg
Kanyakumari Sunrise,160,320,Southern tip geography series.,1998,India,"Nature,Culture",15,main04.png
Einstein Relativity E=mc2,700,1300,Theoretical physics milestone.,2005,World,"Science,History",5,main03.png
